"","ModuleID","Species","GeneID"
"261",25,"OLI","R039032c0g1_i01"
"262",25,"OLI","R039648c3g1_i01"
"263",25,"OLI","R023346c0g2_i01"
"264",25,"OLI","R041120c0g1_i01"
"265",25,"OLI","R040832c0g2_i09"
"266",25,"OLI","R048309c0g1_i01"
"267",25,"OLI","R035870c0g1_i02"
"268",25,"OLI","R038141c0g1_i02"
"269",25,"OLI","R040806c1g1_i06"
"270",25,"OLI","R039851c0g1_i02"
"271",25,"OLI","R026398c0g1_i01"
"272",25,"OLI","R038919c1g1_i02"
"273",25,"OLI","R037751c0g1_i02"
"274",25,"OLI","R039236c0g1_i01"
"275",25,"OLI","R038334c0g2_i01"
"276",25,"OLI","R039899c0g1_i01"
"277",25,"OLI","R022648c0g1_i01"
"278",25,"OLI","R039171c0g1_i01"
"279",25,"OLI","R037967c0g1_i01"
"280",25,"OLI","R039268c0g1_i01"
"281",25,"OLI","R041226c1g1_i01"
"282",26,"AEP","g12059"
"283",26,"OLI","R032476c1g2_i01"
"284",27,"AEP","g12775"
"285",27,"OLI","R023082c0g1_i01"
"286",28,"AEP","g18446"
"287",28,"OLI","R038668c0g1_i01"
"288",29,"AEP","g19812"
"289",29,"AEP","g19814"
"290",30,"AEP","g1844"
"291",30,"OLI","R034505c2g3_i01"
"292",31,"AEP","g10540"
"293",31,"OLI","R039729c1g1_i01"
"294",32,"AEP","g19153"
"295",32,"OLI","R033376c0g1_i01"
"296",33,"AEP","g20581"
"297",33,"AEP","g20582"
"298",33,"OLI","R041522c1g1_i01"
"299",34,"AEP","g1259"
"300",34,"AEP","g20966"
"301",34,"OLI","R027338c0g1_i04"
"302",35,"AEP","g15542"
"303",35,"AEP","g15543"
"304",35,"AEP","g21253"
"305",36,"AEP","g17291"
"306",36,"AEP","g29683"
"307",36,"AEP","g6840"
"308",36,"OLI","R038716c0g1_i01"
"309",37,"AEP","g18959"
"310",37,"OLI","R036356c0g1_i01"
"311",38,"AEP","g17788"
"312",38,"AEP","g19663"
"313",38,"OLI","R040529c0g1_i01"
"314",39,"AEP","g21014"
"315",39,"OLI","R038531c0g1_i04"
"316",40,"AEP","g12091"
"317",40,"OLI","R038131c0g2_i07"
"318",41,"AEP","g20552"
"319",41,"AEP","g20553"
"320",41,"OLI","R036375c0g2_i08"
"321",42,"AEP","g12264"
"322",42,"OLI","R035017c0g1_i01"
"323",43,"AEP","g12462"
"324",43,"OLI","R039824c1g1_i01"
"325",44,"AEP","g144"
"326",44,"OLI","R039094c0g1_i02"
"327",45,"AEP","g15453"
"328",45,"OLI","R039426c0g1_i01"
"329",46,"AEP","g22626"
"330",46,"AEP","g22630"
"331",46,"OLI","R037312c0g1_i01"
"332",47,"AEP","g17892"
"333",47,"OLI","R034523c0g1_i05"
"334",48,"AEP","g17042"
"335",48,"OLI","R021324c0g1_i01"
"336",49,"AEP","g21683"
"337",49,"OLI","R038483c0g1_i02"
"338",50,"AEP","g13980"
"339",50,"OLI","R035320c0g1_i01"
"340",51,"AEP","g23276"
"341",51,"OLI","R015375c0g1_i01"
"342",52,"AEP","g21569"
"343",52,"OLI","R040644c0g1_i01"
"344",53,"AEP","g15485"
"345",53,"OLI","R031248c0g2_i01"
"346",54,"AEP","g16879"
"347",54,"OLI","R023916c0g1_i01"
"348",55,"AEP","g14066"
"349",55,"OLI","R040446c0g2_i01"
"350",56,"AEP","g24320"
"351",56,"OLI","R026180c0g1_i01"
"352",57,"AEP","g1338"
"353",57,"OLI","R025841c0g1_i01"
"354",58,"AEP","g23353"
"355",58,"OLI","R040105c0g1_i06"
"356",59,"AEP","g15540"
"357",59,"AEP","g24127"
"358",59,"OLI","R033713c0g1_i01"
"359",60,"AEP","g20899"
"360",60,"OLI","R037832c1g3_i02"
"361",61,"AEP","g203"
"362",61,"AEP","g24671"
"363",62,"AEP","g21996"
"364",62,"OLI","R035161c0g1_i01"
"365",63,"AEP","g19208"
"366",63,"OLI","R014784c0g1_i02"
"367",64,"AEP","g14471"
"368",64,"OLI","R032989c1g1_i02"
"369",65,"AEP","g2036"
"370",65,"OLI","R038654c0g1_i01"
"371",66,"AEP","g23098"
"372",66,"OLI","R039517c0g1_i06"
"373",67,"AEP","g18200"
"374",67,"AEP","g25321"
"375",67,"OLI","R023124c0g1_i01"
"376",68,"AEP","g11528"
"377",68,"OLI","R040753c0g1_i01"
"378",69,"AEP","g13935"
"379",69,"OLI","R037385c1g1_i13"
"380",70,"AEP","g24354"
"381",70,"OLI","R038579c0g1_i01"
"382",71,"AEP","g2319"
"383",71,"OLI","R039506c0g1_i04"
"384",72,"AEP","g18421"
"385",72,"OLI","R028480c0g2_i01"
"386",73,"AEP","g15081"
"387",73,"AEP","g26237"
"388",73,"OLI","R038879c0g1_i02"
"389",74,"AEP","g23156"
"390",74,"OLI","R040125c0g1_i04"
"391",75,"AEP","g23795"
"392",75,"OLI","R041275c2g4_i04"
"393",76,"AEP","g11277"
"394",76,"OLI","R034558c0g1_i02"
"395",77,"AEP","g22325"
"396",77,"OLI","R022887c1g1_i01"
"397",78,"AEP","g21611"
"398",78,"AEP","g2656"
"399",78,"AEP","g28987"
"400",78,"OLI","R063156c0g1_i01"
"401",79,"AEP","g11310"
"402",79,"OLI","R040467c0g1_i03"
"403",80,"AEP","g15897"
"404",80,"OLI","R026633c0g1_i01"
"405",81,"AEP","g26923"
"406",81,"AEP","g26924"
"407",82,"AEP","g14257"
"408",82,"AEP","g27311"
"409",82,"AEP","g7666"
"410",82,"OLI","R034275c0g1_i01"
"411",83,"AEP","g11470"
"412",83,"OLI","R033988c1g1_i01"
"413",84,"AEP","g12274"
"414",84,"OLI","R033439c0g2_i01"
"415",85,"AEP","g24476"
"416",85,"OLI","R037712c0g5_i01"
"417",86,"AEP","g2762"
"418",86,"OLI","R038409c0g1_i01"
"419",87,"AEP","g23612"
"420",87,"OLI","R037621c1g1_i01"
"421",88,"AEP","g12532"
"422",88,"OLI","R037836c0g1_i02"
"423",89,"AEP","g24289"
"424",89,"OLI","R041132c7g2_i06"
"425",90,"AEP","g17902"
"426",90,"OLI","R041624c1g1_i01"
"427",91,"AEP","g19036"
"428",91,"OLI","R028404c0g1_i02"
"429",92,"AEP","g19513"
